review,sentiment
"This movie was so predictable and poorly acted. I really can't recommend it to anyone, not even for unintentional laughs. It is just plain bad. It is pure TV movie hell, the cast doesn't seem all that bad, but they act terribly. Just stay far away from this movie and rent something more intellectual, like porn.",negative
"Now, I am not prone to much emotion, but I cried seeing this movie. It certainly has more appeal among blacks than other ethnic groups, but there is something here for everyone. The classic song ""It's so Hard to Say Goodbye"" really makes this one worth watching at least once.",positive
"Here in Brazil is very rare to see a good Brazilian film, and Brant´s new film is exactly one of these jewel. There are some flaws in the film, of course, but they are very minimal. The directing and acting in this film are very good!<br /><br />Can´t wait to see another Brant´s new film!",positive
"Summer Phoenix did a great performance where you really feel what she's not able to feel and you just cannot understand what she has on her mind. Besides, she portrays a jewish girl who behaves really confronting the status quo of that century.",positive
Brilliant and moving performances by Tom Courtenay and Peter Finch.,positive
"I love this movie ! I think I've seen it 5 times already (it was quite a success in France and they often play it on TV). Ok, it's a thriller and there is great tension. But mostly (and specifically in the second part) it is absolutely hilarious ! And very original. The directing and photography are just splendid.",positive
"This movie is totally wicked! It's really great to see MJH in a different role than her Sabrina character! The plot is totally cool, and the characters are excellently written. Definitely one of the best movies!!",positive
"Give this movie a break! Its worth at least a ""7""! That little girl is a good actor and she's cute, too. Jim Belushi is a comic genius. You can't help but feel good at the end! I wish there were more wholesome shows like this, that you can enjoy with your kids!",positive
The characters are unlikeable and the script is awful. It's a waste of the talents of Deneuve and Auteuil.,negative
A fine ironic visual gag takes place in front of the spectacular backdrop of a twirling windmill. But who are those people who rush across screen at the end: customers? relatives? One of the earliest enigmas in cinematic history perhaps. Well worth a minute of your time.,positive
"I don't know what it is about the crew from CKY, but everything they produce seems to be genius in its simplicity and stupidity. Haggard is so incredibly dumb and funny that it's almost comedic excellence. Sometimes it makes absolutely no sense, but who cares?<br /><br />It made me laugh my ass off. A must-have for the CKY/Jackass aficionado!",positive
"I must say, when I read the storyline on the back of the case, It sounded really interesting, but when I started to watch the movie seemed boring at first and even more at the end. Some scenes are way too long and the story has not been worked out properly.",negative
